'TYPE','PERSONS','CHILDREN','INCOME','REGION','EDUCATION'
1,4,2,110404,1,45
1,3,0,41100,1,39
2,2,1,29312,1,39
1,3,1,44400,1,39
1,2,0,37001,1,41
1,2,0,57981,1,39
1,2,0,7618,1,39
1,4,2,35379,1,41
1,2,0,47331,1,39
1,3,1,48637,1,40
3,2,1,0,1,39
2,3,2,5280,1,39
2,2,0,22814,1,33
3,2,0,18565,1,39
1,3,1,52450,1,43
1,6,3,55408,1,40
3,2,0,11032,1,34
1,2,0,29327,1,39
2,2,1,34336,1,39
1,3,1,13806,1,39
1,6,4,43331,1,42
1,4,2,625,1,39
1,2,0,67504,1,45
1,3,1,38112,1,39
1,3,0,63030,1,39
1,4,2,9569,1,37
1,4,2,62857,1,40
3,5,4,3058,1,39
1,3,0,25500,1,40
1,5,3,62030,1,39
1,4,1,76301,1,43
1,3,0,88849,1,39
1,2,0,36101,1,41
1,2,0,23620,1,40
3,2,0,49633,1,40
3,3,2,5500,1,43
3,2,0,44459,1,38
1,4,2,36327,1,39
2,3,1,43975,1,43
1,2,0,37677,1,40
1,2,0,6179,1,34
1,4,0,32100,1,39
1,3,0,84812,1,40
1,4,2,99173,1,43
2,2,0,33502,1,34
1,2,0,51748,1,39
1,4,2,42452,1,40
2,2,0,16058,1,41
1,2,0,20044,1,40
1,3,1,31840,1,43
1,4,1,58462,1,43
1,5,1,51100,1,38
1,5,3,4272,1,36
1,5,3,49408,1,39
1,5,2,67500,1,44
1,2,0,32700,1,39
1,4,1,55604,1,45
1,2,0,47517,1,41
1,2,0,22288,1,39
1,2,0,23174,1,39
1,4,1,81902,1,39
1,3,0,44500,1,39
3,3,1,33390,1,34
1,4,0,29803,1,39
1,2,0,17820,1,33
1,2,0,10119,1,34
1,2,0,20070,1,39
1,3,1,48240,1,39
1,4,2,47060,1,39
1,4,1,119300,1,43
1,4,1,49150,1,39
2,2,0,33978,1,36
1,5,3,34900,1,39
1,2,0,9719,1,39
1,2,0,32470,1,39
3,3,2,10650,1,39
1,4,2,10840,1,39
1,4,1,64075,1,39
1,2,0,6972,1,39
1,5,2,48000,1,39
3,2,0,980,1,39
1,3,1,94612,1,39
1,2,0,10499,1,34
1,4,2,44300,1,39
1,4,2,13600,1,35
1,2,0,25838,1,39
1,3,1,31387,1,43
1,3,1,21419,1,42
1,4,2,30904,1,40
1,2,0,23248,1,36
3,2,0,43528,1,44
1,3,0,72920,1,40
1,5,3,51100,1,41
1,3,1,11528,1,39
1,4,0,62814,1,44
1,7,2,50117,1,39
1,3,1,13473,1,38
1,2,0,13874,1,36
1,3,1,8984,1,40
1,5,3,48849,1,43
1,5,3,49950,1,41
1,5,3,41600,1,39
1,2,0,27432,1,39
1,5,3,53915,1,40
1,2,0,64550,1,43
1,4,2,21924,1,39
1,3,0,60652,1,44
1,2,0,14010,1,46
1,2,0,39496,1,34
1,4,1,9057,1,40
1,4,2,19050,1,40
3,2,1,11338,1,43
3,2,1,47288,1,40
1,3,0,13794,1,39
3,3,2,18648,1,40
1,2,0,59008,1,37
1,3,0,8240,1,39
1,2,0,59324,1,40
1,4,2,124780,1,42
1,2,0,56808,1,41
1,2,0,29597,1,38
1,5,3,23600,1,36
1,5,3,40500,1,40
3,2,1,17650,1,40
3,4,3,17600,1,40
1,4,2,38150,1,40
1,3,1,45750,1,44
1,2,0,29370,1,41
3,4,3,10000,1,36
1,4,2,15071,1,36
1,4,2,34000,1,39
3,3,2,13700,1,39
1,2,0,39650,1,41
1,5,3,18399,1,39
1,2,0,23600,1,34
1,4,2,48024,1,39
1,4,2,42878,1,39
3,2,1,404,1,35
1,3,1,22000,1,40
1,5,2,33985,1,41
1,5,3,35658,1,39
1,4,2,16500,1,39
1,2,0,34950,1,39
1,4,2,33024,1,41
1,7,5,5986,1,36
1,5,2,41024,1,39
2,2,1,25009,1,35
1,4,2,17197,1,37
1,3,0,75000,1,41
1,5,3,39560,1,41
1,3,1,28400,1,39
1,3,1,34140,1,41
1,2,0,12220,1,39
1,2,0,22520,1,34
1,4,2,100229,1,40
1,5,3,31770,1,41
1,2,0,52775,1,43
1,4,2,26934,1,37
1,2,0,29006,1,39
1,4,2,28870,1,39
1,3,1,33028,1,39
1,3,0,55456,1,40
3,3,1,15022,1,39
1,3,1,26314,1,39
1,5,2,46001,1,35
1,4,2,28960,1,43
1,4,2,48502,1,40
1,2,0,27893,1,34
1,3,1,23250,1,39
1,4,2,32030,1,39
1,3,1,56030,1,43
2,2,1,37520,1,39
3,2,0,18088,1,34
1,4,1,26375,1,40
3,3,2,5546,1,39
1,4,1,82183,1,40
1,4,2,18000,1,33
3,2,0,10120,1,33
1,3,1,71667,1,39
1,3,0,46430,1,39
1,2,0,22978,1,43
1,3,1,63338,1,39
1,4,2,58025,1,44
1,4,2,42496,1,39
1,2,0,40574,1,39
3,2,0,31000,1,40
2,2,1,30000,1,40
1,2,0,60370,1,39
1,2,0,17705,1,39
1,2,0,14024,1,39
1,2,0,15000,1,40
1,4,2,24500,1,39
1,4,2,81500,1,43
3,3,2,11118,1,39
3,2,1,11998,1,39
1,2,0,46736,1,39
1,4,2,58736,1,44
3,3,2,5972,1,35
3,2,1,16894,1,43
1,4,2,99999,1,44
1,3,0,57759,1,39
3,3,2,27695,1,43
1,4,2,37373,1,40
1,4,2,28918,1,37
1,2,0,16500,1,40
1,3,0,52557,1,40
1,4,2,53876,1,39
1,2,0,26500,1,34
1,2,0,52590,1,36
2,3,2,5000,1,37
1,2,0,33192,1,41
1,3,0,39756,1,43
1,2,0,70800,1,46
3,4,1,52156,1,44
1,4,0,50242,1,39
1,2,0,28223,1,40
1,4,2,28611,1,39
1,4,2,19301,1,38
1,2,0,27723,1,32
1,2,0,22236,1,34
3,2,1,15550,1,40
3,2,1,31100,1,43
3,3,2,16000,1,39
1,2,0,15500,1,40
1,5,2,46564,1,43
1,2,0,60100,1,43
1,4,2,9640,1,39
1,3,0,42800,1,39
1,2,0,7647,1,39
3,4,0,59539,1,39
1,2,0,32070,1,39
1,3,1,24499,1,39
1,3,0,43023,1,44
1,4,2,37857,1,39
3,2,0,26578,1,33
1,3,0,79736,1,40
1,4,2,8750,1,36
1,5,3,34710,1,39
1,2,0,13846,1,39
1,3,1,34079,1,37
1,2,0,24396,1,39
3,2,1,13643,1,39
1,2,0,27840,1,40
1,4,2,11330,1,40
1,2,0,37474,1,44
1,2,0,38985,1,40
1,2,0,59700,1,39
1,7,4,12012,1,34
1,2,0,82621,1,43
1,5,3,32040,1,39
1,3,1,180821,1,43
1,2,0,71733,1,39
1,2,0,70804,1,38
1,3,0,55300,1,43
1,2,0,52985,1,42
1,2,0,85330,1,46
1,2,0,120100,1,46
1,4,2,41607,1,42
3,3,2,28550,1,39
1,4,0,73063,1,39
1,4,2,21859,1,39
1,2,0,65617,1,40
1,2,0,46120,1,43
1,3,0,45418,1,39
1,2,0,46671,1,37
1,4,2,41221,1,34
3,2,0,67640,1,39
1,4,2,50325,1,43
1,3,1,10173,1,39
3,2,1,2255,1,39
1,4,2,51085,1,40
1,2,0,62596,1,39
1,4,2,42710,1,36
3,2,1,18028,1,39
3,3,1,16673,1,35
1,3,1,154500,1,43
1,3,0,79000,1,43
3,3,2,35300,1,43
1,3,0,47834,1,40
1,2,0,29760,1,39
1,3,1,31007,1,39
1,3,1,51264,1,39
1,2,0,23929,1,39
1,4,2,52800,1,43
3,3,2,24800,1,43
1,4,2,65050,1,43
1,3,0,103600,1,41
1,2,0,13800,1,43
1,4,2,122708,1,40
2,3,2,18000,1,39
1,4,2,56020,1,39
1,2,0,16265,1,42
3,3,2,28500,1,40
1,2,0,28623,1,39
1,2,0,41236,1,43
1,3,1,18000,1,39
1,4,2,51139,1,41
3,3,2,12000,1,39
1,2,0,54617,1,34
1,2,0,33036,1,43
1,5,3,66874,1,42
1,2,0,45550,1,40
1,4,2,53050,1,40
1,4,2,87327,1,44
1,2,0,7080,1,40
1,2,0,130800,1,46
1,5,3,74330,1,45
1,3,0,45824,1,44
1,6,4,49700,1,39
1,2,0,56166,1,39
1,2,0,26075,1,43
1,4,2,41131,1,39
1,4,2,34800,1,40
1,4,2,55248,1,43
1,6,4,20848,1,39
1,6,4,12140,1,37
3,3,0,35702,1,39
3,2,1,9637,1,40
1,2,0,28166,1,42
3,2,1,20872,1,39
3,6,4,21318,1,36
1,2,0,12000,1,39
3,2,0,38320,1,40
3,2,0,25650,1,42
1,4,2,77686,1,43
1,4,2,59581,1,43
1,4,2,40360,1,43
1,6,0,73866,1,39
3,2,1,8530,1,39
1,3,1,83200,1,43
2,2,1,30025,1,39
1,3,1,31425,1,43
1,3,0,91030,1,44
1,4,2,70200,1,42
1,2,0,49000,1,40
1,4,2,65000,1,40
1,2,0,42764,1,34
1,5,3,28636,1,39
1,2,0,41800,1,40
1,4,2,43480,1,42
3,3,2,8454,1,41
3,2,1,4440,1,39
1,4,2,18500,1,36
3,3,0,77900,1,40
1,3,0,70422,1,39
1,3,0,68575,1,39
3,4,0,62587,1,39
1,4,2,59900,1,44
1,5,2,60784,1,34
3,2,0,94700,1,45
1,4,1,63146,1,39
1,2,0,520,1,34
3,3,0,19000,1,36
1,4,2,65005,1,43
1,4,2,52325,1,39
1,2,0,13258,1,36
1,2,0,107650,1,43
1,4,2,195999,1,44
1,5,3,101209,1,43
1,2,0,42450,1,40
1,3,0,45614,1,39
1,2,0,16341,1,39
1,3,1,34070,1,39
1,2,0,50338,1,40
3,2,0,26603,1,39
1,4,1,45435,1,40
1,3,1,103671,1,43
1,6,4,81500,1,44
1,5,3,134999,1,39
1,2,0,20479,1,34
3,2,0,23144,1,34
1,2,0,53050,1,43
1,5,1,48400,1,39
1,2,0,130200,1,43
1,2,0,95460,1,44
1,2,0,43060,1,39
1,3,1,32020,1,39
1,2,0,13000,1,34
3,3,0,28990,1,40
1,4,2,24900,1,37
1,3,1,52101,1,43
2,2,1,12000,1,35
1,2,0,43029,1,34
1,4,2,50000,1,44
1,4,2,57699,1,41
1,2,0,30050,1,44
2,2,0,59729,1,43
1,4,2,30030,1,39
3,2,1,3923,1,36
1,3,1,38639,1,43
3,2,0,65930,1,44
1,2,0,85500,1,39
1,4,2,47300,1,40
1,3,0,59895,1,43
3,2,1,18350,1,40
1,3,0,32232,1,39
2,5,3,16400,1,39
3,2,0,24852,1,40
1,3,0,114601,1,43
1,4,2,41650,1,41
1,2,0,51435,1,44
1,3,0,40548,1,39
1,2,0,50042,1,39
1,2,0,66968,1,41
1,4,2,33140,1,40
1,2,0,41561,1,39
1,4,0,154612,1,44
3,3,2,4722,1,43
3,2,1,1600,1,39
3,4,0,58288,1,41
1,3,1,35400,1,39
3,2,0,40014,1,39
1,2,0,64204,1,43
1,4,1,51152,1,40
1,3,0,45458,1,39
1,4,2,44679,1,41
1,2,0,27690,1,37
1,2,0,44845,1,39
1,2,0,10812,1,34
1,4,0,77076,1,46
1,2,0,37392,1,43
3,2,0,25184,1,36
1,4,1,47620,1,39
1,4,2,25405,1,35
1,2,0,10562,1,36
1,7,5,53767,1,39
1,4,2,42201,1,41
1,4,2,80200,1,43
3,3,2,92600,1,40
1,4,1,62948,1,39
1,2,0,50560,1,39
1,4,2,23000,1,39
1,2,0,10400,1,39
2,2,0,22600,1,36
1,2,0,17282,1,34
1,3,0,37797,1,35
1,3,1,39360,1,39
1,3,0,33400,1,39
3,2,1,16716,1,38
1,3,1,69100,1,39
1,6,4,41900,1,39
1,10,2,70001,1,40
1,4,2,25000,1,40
1,2,0,20001,1,39
1,3,1,56930,1,43
1,4,2,39080,1,43
1,3,0,43642,1,39
1,2,0,60275,1,40
3,3,0,9456,1,35
1,2,0,62789,1,42
1,2,0,6687,1,39
3,2,0,35234,1,39
1,2,0,50900,1,43
3,2,0,7420,1,34
3,2,0,28629,1,43
3,3,2,14864,1,40
1,3,0,44757,1,36
1,2,0,36000,1,39
1,2,0,34207,1,41
1,2,0,25074,1,41
1,4,2,48200,1,39
1,2,0,24827,1,39
1,2,0,30436,1,39
1,2,0,19906,1,39
3,2,0,52570,1,39
1,2,0,45159,1,40
1,2,0,31089,1,39
1,3,0,88276,1,44
3,3,0,25800,1,43
1,3,1,41292,1,39
3,3,2,6672,1,34
1,2,0,70100,1,44
3,3,2,0,1,43
1,5,2,107250,1,44
1,3,1,29300,1,40
1,2,0,99150,1,43
1,2,0,35560,1,40
1,2,0,131746,1,40
1,4,2,71750,1,44
1,4,2,50299,1,40
1,4,2,45942,1,43
1,4,2,73354,1,44
1,4,2,61810,1,43
1,3,1,88350,1,43
1,4,2,103528,1,43
1,2,0,115010,1,43
1,2,0,58175,1,39
1,3,0,34667,1,41
1,3,1,19000,1,40
1,6,0,113632,1,43
1,4,2,27594,1,43
1,2,0,50521,1,39
1,2,0,29252,1,39
1,6,2,25254,1,40
3,2,1,45,1,37
1,2,0,30448,1,43
1,3,1,21887,1,39
1,2,0,65964,1,42
1,2,0,11952,1,36
1,2,0,60089,1,39
1,4,2,18812,1,40
1,4,2,34079,1,40
1,4,2,82207,1,43
2,2,1,5016,1,39
3,2,1,14000,1,37
1,2,0,22538,1,39
1,4,2,15000,1,43
1,8,5,27916,1,43
1,4,1,81710,1,36
3,4,3,17775,1,39
3,3,2,2137,1,39
3,3,1,13828,1,39
3,2,1,7800,1,39
1,2,0,36121,1,39
1,2,0,15642,1,39
1,2,0,30220,1,40
1,3,0,46560,1,35
1,2,0,18072,1,43
1,3,0,51750,1,39
3,3,0,160166,1,39
1,2,0,154137,1,39
2,2,1,10050,1,39
1,6,4,41156,1,42
1,5,3,39065,1,39
3,4,1,25570,1,36
3,2,1,0,1,36
1,3,0,85292,1,44
1,3,0,40500,1,39
1,4,2,50374,1,40
1,2,0,56233,1,35
1,4,2,51911,1,39
1,4,1,57808,1,37
3,2,0,65851,1,43
3,3,0,21252,1,39
1,3,1,67500,1,42
1,5,3,38618,1,40
1,2,0,21910,1,35
3,2,1,10100,1,40
1,4,2,70000,1,40
1,5,2,70480,1,40
1,3,1,34200,1,39
1,4,2,65100,1,40
1,6,0,50755,1,39
3,3,2,22055,1,39
1,3,1,39431,1,39
1,3,1,24000,1,39
1,2,0,5598,1,34
3,6,0,35201,1,39
1,5,3,27001,1,41
1,4,2,54607,1,43
3,3,0,28120,1,40
1,4,2,58136,1,41
1,5,3,51057,1,39
1,3,0,26638,1,37
1,2,0,73400,1,43
1,4,2,61100,1,40
3,5,1,72059,1,43
1,4,0,75050,1,39
1,3,0,72116,1,39
1,4,1,38258,1,39
1,2,0,68052,1,43
1,2,0,36800,1,34
1,3,1,87755,1,43
1,3,1,34320,1,39
1,2,0,65250,1,39
1,2,0,81900,1,44
1,5,2,125500,1,44
3,2,1,5286,1,40
1,2,0,23784,1,39
3,2,1,3678,1,43
1,2,0,9315,1,36
1,2,0,33021,1,39
1,2,0,72024,1,43
1,3,1,72527,1,40
1,4,0,43894,1,39
1,4,2,56350,1,40
1,4,2,23282,1,43
1,2,0,12180,1,39
1,3,0,24192,1,35
1,3,0,95200,1,46
1,5,3,41200,1,43
1,3,1,43560,1,40
1,7,0,43263,1,39
3,5,4,17600,1,33
3,3,1,34870,1,39
3,3,0,45934,1,43
1,2,0,73300,1,40
1,2,0,36200,1,43
1,4,0,53192,1,40
1,3,1,33020,1,43
1,2,0,54000,1,39
2,3,1,29232,1,39
1,3,0,100776,1,40
1,3,0,48709,1,40
1,3,0,32950,1,40
1,4,0,41287,1,45
2,3,2,500,1,39
1,2,0,26664,1,44
3,2,0,8100,1,39
1,4,2,23100,1,35
1,2,0,7879,1,40
1,2,0,171785,1,44
3,2,1,11830,1,39
1,2,0,52000,1,44
1,4,2,24970,1,40
1,2,0,59975,1,39
3,3,2,1200,1,34
1,4,2,33024,1,39
1,2,0,31990,1,39
3,2,1,6418,1,40
1,2,0,22549,1,43
1,4,2,40400,1,41
3,2,0,26461,1,43
3,4,1,23690,1,36
1,5,3,21000,1,40
1,3,0,20536,1,34
1,5,3,51926,1,44
1,2,0,117000,1,45
1,2,0,28275,1,40
1,4,2,69650,1,42
1,4,2,46042,1,43
1,5,3,32000,1,40
3,3,2,9600,1,37
3,2,1,8500,1,39
1,5,0,28605,1,39
3,3,2,5880,1,39
1,2,0,15618,1,39
1,3,0,48600,1,39
1,3,1,81299,1,41
1,5,3,73400,1,45
3,2,1,38050,1,43
2,3,2,41900,1,40
3,3,1,51180,1,45
1,5,3,68500,1,44
1,2,0,67833,1,43
1,2,0,53000,1,40
1,3,1,80016,1,39
1,3,1,87416,1,46
3,6,0,78269,1,34
1,4,2,40539,1,39
1,2,0,6339,1,43
1,3,0,43504,1,40
1,5,3,71943,1,40
1,2,0,34400,1,39
1,3,1,46000,1,40
1,3,1,7140,1,36
1,2,0,36450,1,39
1,5,3,50215,1,40
3,2,1,5672,1,39
3,2,1,27600,1,41
1,3,1,11994,1,39
2,3,0,27595,1,34
1,2,0,72994,1,39
1,3,1,30339,1,40
1,2,0,12411,1,39
1,2,0,35306,1,38
1,3,0,82014,1,44
3,3,2,43945,1,39
1,2,0,10,1,40
1,4,1,61313,1,39
1,3,0,26810,1,39
3,2,0,15492,1,39
1,2,0,38000,1,40
3,6,0,19461,1,36
1,5,3,8736,1,39
1,3,0,31066,1,44
1,5,3,55646,1,43
1,3,0,112512,1,46
1,5,3,45730,1,43
1,4,2,66050,1,40
1,3,1,35435,1,39
1,4,1,60580,1,42
1,3,0,39308,1,39
1,5,3,36921,1,43
1,2,0,25576,1,39
1,4,2,45567,1,39
1,5,2,40500,1,37
3,2,0,20012,1,34
1,2,0,93056,1,43
1,3,0,76171,1,39
1,5,3,18158,1,43
1,4,2,48700,1,40
3,2,0,18276,1,40
1,2,0,17436,1,46
1,6,4,37775,1,41
1,3,1,51564,1,40
1,5,2,51071,1,43
1,4,2,36016,1,39
1,3,0,-8298,1,43
1,2,0,73550,1,43
1,2,0,30400,1,43
2,3,2,43000,1,41
1,2,0,32400,1,42
1,2,0,13985,1,39
1,4,2,37000,1,39
1,4,0,70160,1,39
1,4,0,53235,1,39
1,2,0,32959,1,39
1,5,3,52800,1,39
1,2,0,13000,1,37
3,2,1,11214,1,40
2,6,4,15060,1,39
1,2,0,47579,1,42
1,4,0,102416,1,43
1,6,3,53264,1,39
1,4,2,36038,1,42
1,2,0,38921,1,40
3,2,0,20288,1,39
1,3,0,42055,1,41
1,3,1,47265,1,43
1,3,1,34281,1,39
1,4,1,54411,1,43
3,2,0,52865,1,39
1,2,0,58024,1,45
1,2,0,16763,1,43
1,3,1,60500,1,44
2,2,0,33760,1,44
1,4,2,28002,1,39
1,2,0,46034,1,39
1,5,3,32272,1,41
1,4,2,41110,1,35
1,4,2,16700,1,39
3,2,0,26143,1,34
2,2,0,48000,1,39
1,2,0,35553,1,33
1,4,2,33052,1,39
1,3,1,61300,1,40
1,2,0,29539,1,39
3,3,1,16000,1,36
1,3,1,41400,1,40
1,4,2,51700,1,43
3,5,1,9973,1,34
2,3,2,6433,1,39
1,5,3,43602,1,42
1,2,0,38500,1,39
1,2,0,14000,1,39
3,2,1,20800,1,37
1,2,0,46332,1,43
1,3,0,53129,1,39
1,5,3,41000,1,43
1,2,0,88220,1,44
1,5,1,63572,1,43
1,2,0,60148,1,39
1,3,0,48450,1,39
2,2,0,28175,1,39
1,5,3,51800,1,43
1,5,3,24700,1,39
1,2,0,25000,1,39
1,6,4,18800,1,39
1,4,2,22360,1,40
1,3,1,6000,1,39
1,4,2,35000,1,39
1,2,0,49253,1,40
3,2,0,28623,1,34
1,2,0,126654,1,44
1,2,0,76170,1,44
1,2,0,41050,1,40
1,3,1,36010,1,39
1,2,0,9629,1,39
1,2,0,37015,1,43
1,2,0,52864,1,43
1,3,0,71594,1,39
1,3,1,25461,1,39
1,2,0,18200,1,40
1,3,1,55211,1,43
1,2,0,54382,1,39
1,4,2,44747,1,39
1,5,1,7872,1,39
1,2,0,26784,1,39
3,3,2,4922,1,38
1,2,0,16830,1,36
1,3,0,50656,1,34
1,2,0,87000,1,44
1,2,0,38959,1,39
1,4,2,52531,1,39
1,2,0,114208,1,43
3,2,0,27847,1,39
1,3,1,35100,1,39
1,4,2,27570,1,39
1,2,0,13782,1,40
3,3,2,26898,1,39
1,2,0,1044,1,41
3,2,1,16078,1,39
1,2,0,22100,1,39
1,2,0,19850,1,39
3,3,2,18000,1,39
3,2,0,16165,1,33
1,2,0,47572,1,39
1,4,2,40000,1,39
3,2,0,24860,1,41
1,3,1,35406,1,39
1,4,2,27998,1,39
1,2,0,51820,1,40
1,2,0,82312,1,44
1,3,0,37160,1,39
1,2,0,500,1,34
1,3,1,42782,1,40
2,2,0,62200,1,39
1,7,2,60123,1,35
1,4,2,54684,1,43
1,3,1,36056,1,41
1,4,2,28825,1,37
1,2,0,37145,1,37
3,2,0,22943,1,41
1,3,1,12500,1,40
1,4,2,22150,1,42
2,2,1,22000,1,39
3,2,0,29594,1,34
1,4,2,16235,1,39
1,2,0,16178,1,39
1,5,0,44368,1,34
1,3,1,34000,1,39
1,4,2,51000,1,43
1,4,2,53987,1,40
1,3,1,87432,1,44
3,2,1,1614,1,39
3,3,2,7720,1,36
1,3,1,45552,1,43
2,2,0,22900,1,39
1,4,2,22975,1,39
1,4,2,62024,1,39
1,2,0,11614,1,34
1,4,2,41000,1,41
2,2,0,100000,1,42
1,4,2,86800,1,43
2,2,0,22526,1,34
1,2,0,58800,1,40
1,4,2,35500,1,39
1,2,0,17775,1,39
3,2,0,35860,1,39
1,2,0,192421,1,40
1,5,2,64692,1,39
1,2,0,25294,1,37
1,4,2,33250,1,39
1,4,0,50707,1,35
1,4,2,54727,1,39
1,3,0,14894,1,37
1,3,0,83625,1,39
1,2,0,14108,1,34
1,2,0,48250,1,34
1,2,0,59936,1,43
3,3,2,7920,1,35
3,2,1,6122,1,39
1,4,2,43000,1,39
1,5,3,39140,1,42
1,4,2,60104,1,40
1,5,2,55107,1,39
1,2,0,100000,1,43
1,4,2,36250,1,41
1,3,1,33520,1,39
3,2,0,19000,1,33
1,5,3,36200,1,43
1,5,0,83000,1,42
1,3,0,52331,1,39
2,3,0,24800,1,39
3,2,1,740,1,39
1,2,0,21650,1,34
1,2,0,32745,1,40
1,2,0,32355,1,40
1,4,2,45488,1,44
3,2,0,18540,1,39
2,2,1,17130,1,46
1,2,0,25452,1,35
1,2,0,22960,1,39
1,4,0,78200,1,38
1,2,0,25150,1,43
1,2,0,15012,1,39
1,4,2,67100,1,43
1,3,1,18587,1,39
1,2,0,35500,1,40
1,2,0,13784,1,39
1,3,1,39280,1,39
1,3,1,19480,1,39
1,3,1,10720,1,39
1,2,0,96938,1,40
1,2,0,55500,1,39
1,2,0,40125,1,39
1,4,2,43300,1,40
3,2,1,6288,1,39
1,2,0,49880,1,36
1,5,1,87970,1,43
1,2,0,76490,1,40
3,2,0,15920,1,32
1,4,2,30600,1,39
1,5,3,20000,1,37
1,6,4,85200,1,45
1,4,2,67500,1,39
1,2,0,15470,1,43
1,2,0,65000,1,42
1,4,2,20320,1,39
1,3,1,38230,1,43
1,4,2,31773,1,39
3,3,2,6276,1,39
1,4,1,40613,1,40
1,4,2,42020,1,43
1,2,0,44601,1,40
1,4,2,35050,1,34
1,6,4,35199,1,40
1,4,2,23852,1,39
1,2,0,27099,1,34
1,4,2,16595,1,35
1,4,1,31103,1,40
1,8,6,35074,1,43
